level,surrogate,metric,dcor,procrustes,stress,n_models,matrix_sha256
behavioral,R=16 · per generation,cosine,0.939809,0.086905,0.313721,16,6236cb38f1a72adc
behavioral,R=16 · per query,cosine,0.938347,0.074729,0.286578,16,8af81cea3b98344c
behavioral,R=16 · per generation,euclidean,0.935952,0.745573,0.350775,16,f627ba552af07083
behavioral,R=16 · per generation,frobenius,0.935952,0.745573,0.350775,16,a54df87ebfdf165c
behavioral,R=16 · per query,euclidean,0.935836,0.702441,0.341792,16,1feb7793601a71ae
behavioral,R=16 · per query,frobenius,0.935836,0.702441,0.341792,16,61071217cecda958
behavioral,R=16 · per query,bw,0.932841,0.733097,0.342059,16,2d7b3111256186f2
behavioral,R=16 · per generation,bw,0.919660,0.405259,0.349697,16,0b4fdba831be34e7
behavioral,R=16 · per generation,cka,0.910881,0.647867,0.334551,16,32be3b3aaef0fff0
behavioral,R=16 · per query,cka,0.875719,0.084372,0.266207,16,b7c67238f9fd83e8
behavioral,greedy · per generation,cosine,0.821050,0.235098,0.304386,16,47b80387f6eb547e
behavioral,greedy · per generation,bw,0.819080,0.720607,0.344352,16,1045b348cce03d07
behavioral,greedy · per generation,frobenius,0.815350,0.739955,0.339394,16,778ec00f7ef30c52
behavioral,greedy · per generation,euclidean,0.815350,0.739955,0.339394,16,fe73232eb048c37d
behavioral,greedy · per generation,cka,0.773543,0.252987,0.297110,16,6f7b3846e88658b8
functional,late third,cosine,0.978950,0.006309,0.061873,16,38e921e09ef1aabe
functional,h16 · final hidden state,cosine,0.977026,0.007304,0.056995,16,4b1e743ced7814e1
functional,all 17 layers (reference),cosine,0.975079,0.007397,0.074595,16,64c46633a56d3dca
functional,late third,euclidean,0.970770,0.019077,0.195723,16,e44a86a70aeb64c9
functional,late third,frobenius,0.970770,0.019077,0.195723,16,16dbf7eb2312a5ca
functional,late third,bw,0.970753,0.019010,0.195688,16,9064c32cc5bd9004
functional,h16 · final hidden state,frobenius,0.969299,0.017391,0.187857,16,1bf1a2a3268a8fe2
functional,h16 · final hidden state,euclidean,0.969299,0.017391,0.187857,16,527a83c99ebd0612
functional,h16 · final hidden state,bw,0.969194,0.017352,0.187851,16,5904b084961b4c6e
functional,all 17 layers (reference),frobenius,0.965456,0.021053,0.203717,16,aa4715e9d9eb7eb7
functional,all 17 layers (reference),euclidean,0.965456,0.021053,0.203717,16,0b5891b955e1274b
functional,all 17 layers (reference),bw,0.965435,0.020798,0.203719,16,f1d49f7155de9f73
functional,all 17 layers (reference),cka,0.941218,0.046010,0.079091,16,3c41599bdaace31b
functional,late third,cka,0.939307,0.054960,0.084702,16,aae0817880305a66
functional,h16 · final hidden state,cka,0.922906,0.084661,0.088233,16,b58e6d3655fd16d6
structural,v_proj,cosine,0.970639,0.008733,0.108378,16,81ffc1c25b45689f
structural,late third,cosine,0.970451,0.008785,0.111656,16,e11689f90f2d7ba5
structural,middle third,cosine,0.970282,0.007430,0.112369,16,01170edca5d96bc4
structural,"q,k,v (dim-pure)",cosine,0.968532,0.009582,0.117185,16,de8d8e0b9545bcab
structural,all layers · all projections,cosine,0.968337,0.009397,0.118723,16,03ce1a3f4cc5d144
structural,k_proj,cosine,0.967523,0.008978,0.116057,16,4fa99b06b3ac282f
structural,output projections,cosine,0.966330,0.010026,0.124100,16,8307f7fe16919057
structural,q_proj (whole),cosine,0.964415,0.013530,0.125318,16,6b4f572e2921ff27
structural,late third,frobenius,0.958146,0.026415,0.230980,16,a5fdfe4d4d80bf6b
structural,v_proj,frobenius,0.957540,0.026551,0.229342,16,4a6e715d5250221a
structural,early third,cosine,0.956809,0.019789,0.131649,16,b52249c89775bf07
structural,middle third,frobenius,0.956782,0.026537,0.230893,16,8c1edb67ae10941d
structural,"q,k,v (dim-pure)",frobenius,0.955931,0.027827,0.233797,16,6682ee422c2a9736
structural,all layers · all projections,frobenius,0.955463,0.027590,0.234663,16,b0349375d6b28e4c
structural,k_proj,frobenius,0.954203,0.028410,0.233035,16,00a5689b1ef80307
structural,q_proj (whole),frobenius,0.952632,0.030172,0.237334,16,b7af87bf36d66fa5
structural,output projections,frobenius,0.952246,0.027707,0.237343,16,51b8917c1d12ebd8
structural,early third,frobenius,0.944086,0.035695,0.240754,16,0317df92e2689dac
dataset_embedding,dataset text · mean · n1000_s00,frobenius,0.979952,0.015251,0.013959,16,9aa61ba7b0d93a57
dataset_embedding,dataset text · mean · n1000_s00,euclidean,0.979718,0.015227,0.013489,16,0a6cf5360b0557ab
dataset_embedding,dataset text · mean · n1000_s00,cosine,0.937095,0.075994,0.253430,16,49782cfdbdb340b8
